pattern	chi2	cs	en
ADV ADV SCONJ ADJ	3.903225806451613	51	73
ADP DET VERB NOUN	4.332120109190173	515	584
DET ADV ADJ NOUN PUNCT	4.876379690949228	250	203
NUM NUM	5.504761904761905	88	122
ADP ADJ PROPN	5.954177897574124	209	162
AUX DET VERB NOUN	6.666666666666667	100	140
SYM NUM SYM NUM	7.0	0	7
DET ADV ADJ NOUN	7.401812688821752	296	366
NOUN ADP NOUN ADP NOUN NOUN PUNCT	7.952495490078172	774	889
NOUN VERB ADP NOUN PART NOUN CCONJ NOUN PUNCT VERB PROPN	8.0	0	8
ADP DET ADJ PUNCT ADJ CCONJ ADJ NOUN	8.0	24	48
SCONJ VERB CCONJ VERB	8.066666666666666	51	84
PUNCT PROPN PUNCT PROPN ADJ PUNCT	8.1	29	11
NOUN ADP NUM	8.346570397111913	243	311
NOUN CCONJ VERB	8.832258064516129	753	642
DET VERB NOUN ADP NOUN	9.416195856873824	481	581
ADP NUM PUNCT	9.855203619909503	188	254
ADJ ADJ PROPN ADJ PROPN NUM PUNCT	10.0	10	0
PUNCT INTJ PUNCT NOUN PROPN PUNCT	10.0	0	10
NUM ADP ADJ NOUN	10.755555555555556	112	68
CCONJ VERB PRON	10.845102505694761	185	254
AUX VERB AUX ADJ	10.903225806451612	150	98
ADJ NOUN ADP NOUN ADP DET NOUN PUNCT NOUN NUM PUNCT VERB PROPN	11.0	0	11
ADP DET ADJ NUM NOUN PUNCT	11.307692307692308	9	30
ADP PRON ADJ NOUN CCONJ	11.628930817610064	58	101
DET ADJ PUNCT ADJ NOUN	11.795918367346939	162	230
ADV SCONJ NUM SYM	12.0	12	0
AUX PRON VERB	12.9438202247191	404	308
DET NUM SYM NOUN	13.37037037037037	4	23
ADP NOUN CCONJ NOUN PUNCT	14.013452914798206	620	495
ADV SCONJ NUM NUM NOUN	14.222222222222221	17	1
NOUN VERB ADP NOUN PART NOUN PUNCT VERB PROPN	15.0	0	15
NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN CCONJ DET NOUN ADP NOUN PUNCT NOUN	15.210526315789474	1	18
PRON DET VERB	15.8	237	158
DET PUNCT PRON VERB	16.24024024024024	281	385
PUNCT NOUN PUNCT PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT	18.181818181818183	1	21
ADP DET ADV ADJ NOUN	19.240469208211145	130	211
NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT	20.166666666666668	1	23
PROPN ADP DET NOUN PUNCT PUNCT PROPN PROPN PUNCT	21.0	0	21
DET ADJ CCONJ ADJ NOUN	21.162661737523106	217	324
ADP ADJ PROPN PUNCT	21.233009708737864	195	114
PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT NOUN CCONJ NOUN PUNCT	22.0	0	22
VERB PRON PUNCT	22.260162601626018	418	566
NUM SYM NUM PUNCT	23.14814814814815	1	26
AUX AUX ADV VERB PUNCT	24.142857142857142	12	51
ADP NUM CCONJ NUM	25.0	12	52
ADJ NOUN PUNCT NOUN NUM PUNCT VERB PROPN	25.137931034482758	1	28
ADP PRON ADJ NOUN PUNCT	25.691629955947135	173	281
AUX DET NOUN ADJ	25.798657718120804	236	360
PUNCT NOUN PUNCT X	26.0	0	26
NOUN ADP DET NOUN PUNCT PUNCT PUNCT NOUN PUNCT	26.5609756097561	4	37
AUX DET ADV ADJ	29.357798165137616	69	149
CCONJ ADV VERB	30.852233676975946	358	224
PUNCT DET NOUN AUX VERB ADP NUM NOUN CCONJ VERB ADP NUM NOUN PUNCT	31.0	0	31
ADV	32.29356027373223	2635	3064
ADJ NOUN AUX	32.8989700833742	890	1149
PUNCT PROPN PUNCT PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT	33.8	3	42
NUM SYM	34.10526315789474	1	37
PROPN SCONJ ADV VERB PUNCT VERB PROPN	35.0	0	35
NOUN ADP NOUN CCONJ NOUN NOUN PUNCT VERB PROPN	35.1025641025641	1	38
ADP ADJ NUM NOUN	36.57142857142857	88	24
SCONJ PROPN PROPN VERB PUNCT	37.355555555555554	2	43
PROPN CCONJ PROPN PUNCT	38.0	38	114
AUX PRON ADJ PUNCT SCONJ	39.340425531914896	45	2
NUM NUM NUM	39.340425531914896	2	45
ADJ NOUN ADP ADJ ADJ PUNCT ADJ	39.34710743801653	95	26
NOUN ADP NOUN VERB ADP DET NOUN PUNCT VERB PROPN	40.09090909090909	1	43
ADP DET ADJ PROPN NOUN PUNCT	40.69491525423729	5	54
PRON ADV AUX VERB PART VERB	41.0	0	41
ADP NUM PROPN NUM PUNCT	41.08888888888889	1	44
ADP PROPN CCONJ PROPN PUNCT	42.29323308270677	29	104
NUM PUNCT NUM PUNCT	43.61290322580645	57	5
ADP PRON ADJ NOUN	43.65558912386707	246	416
NOUN ADP PROPN ADP ADJ NOUN PUNCT VERB PROPN	45.301886792452834	2	51
ADJ NOUN PUNCT NOUN NUM PUNCT	45.5625	59	5
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT PUNCT PROPN PUNCT PROPN PROPN PUNCT	46.0	0	46
ADJ CCONJ ADV ADJ	47.41463414634146	177	69
PUNCT PROPN PUNCT ADJ NOUN ADJ PUNCT	48.05714285714286	64	6
PART AUX ADV ADJ	49.59016393442623	3	58
DET NUM NOUN	52.547325102880656	65	178
NOUN ADP ADJ NOUN PUNCT VERB PROPN	53.04109589041096	29	117
ADP DET ADJ CCONJ ADJ NOUN	53.14942528735632	106	242
ADJ PUNCT ADJ CCONJ ADJ PUNCT	53.16107382550336	119	30
PROPN ADP DET NOUN PUNCT PUNCT	54.0	12	84
ADP NOUN ADP DET PROPN PUNCT PROPN PROPN PUNCT PUNCT	55.0	0	55
NOUN ADP PROPN ADJ NOUN PUNCT VERB PROPN	55.25396825396825	2	61
SYM	55.53731343283582	3	64
NUM NOUN NUM	56.22522522522522	95	16
PUNCT DET PRON ADV VERB	56.627450980392155	89	13
PRON AUX PUNCT ADV PUNCT	56.822784810126585	6	73
ADP NUM PROPN NUM	57.0655737704918	1	60
ADP PROPN NUM PUNCT	57.96551724137931	17	99
ADV ADV VERB	58.21761658031088	492	280
AUX PART ADJ PUNCT	62.241379310344826	25	120
NUM NOUN PUNCT	63.45655877342419	390	197
NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN	64.20481927710843	5	78
INTJ PUNCT	65.0	0	65
PUNCT PROPN PUNCT PROPN	71.07042253521126	126	300
AUX ADV AUX VERB PUNCT	72.00869565217391	12	103
ADP DET NUM NOUN	72.96571428571428	31	144
NOUN ADP PROPN CCONJ PROPN	75.08205128205128	37	158
PRON AUX ADV ADV VERB	76.22222222222223	14	112
AUX DET PROPN VERB	77.0	0	77
ADP NOUN PUNCT	77.05277874868926	2529	3193
AUX ADV ADJ PUNCT	78.023598820059	454	224
DET NOUN ADP ADJ PROPN	78.0695652173913	48	182
NUM	82.6588785046729	561	295
PRON AUX AUX ADV ADJ	84.375	3	93
INTJ	86.0	0	86
PROPN PROPN CCONJ PROPN PROPN PUNCT	87.16842105263157	2	93
NOUN ADP NOUN NOUN PUNCT	87.90258939580764	1889	1355
