pattern	chi2	cs	en
ADV ADV SCONJ ADJ	3.903225806451613	51	73
ADP DET VERB NOUN	4.332120109190173	515	584
DET VERB NOUN ADP NOUN	4.469767441860465	461	399
NOUN ADP NOUN ADP NOUN NOUN PUNCT	4.629357798165137	774	861
DET ADV ADJ NOUN PUNCT	4.876379690949228	250	203
NUM NUM	6.0	60	90
SYM	6.11864406779661	20	39
NOUN ADP NUM	6.459244532803181	280	223
AUX DET VERB NOUN	6.666666666666667	100	140
NOUN VERB ADP NOUN PART NOUN PUNCT VERB PROPN	7.0	0	7
SYM NUM SYM NUM	7.0	0	7
SCONJ DET NOUN AUX	7.009708737864078	84	122
NOUN VERB ADP NOUN PART NOUN CCONJ NOUN PUNCT VERB PROPN	8.0	0	8
ADP DET ADJ PUNCT ADJ CCONJ ADJ NOUN	8.0	24	48
PRON ADV ADV VERB	8.0	99	63
SCONJ VERB CCONJ VERB	8.066666666666666	51	84
PUNCT PROPN PUNCT PROPN ADJ PUNCT	8.1	29	11
NOUN ADP PROPN ADJ NOUN PUNCT VERB PROPN	8.333333333333334	1	11
ADP ADJ PROPN	9.257142857142858	88	52
ADJ NOUN AUX VERB	9.35027027027027	416	509
ADJ ADJ PROPN ADJ PROPN NUM PUNCT	10.0	10	0
PUNCT INTJ PUNCT NOUN PROPN PUNCT	10.0	0	10
ADP ADJ PUNCT	10.060362173038229	547	447
NOUN ADP ADJ NOUN PUNCT VERB PROPN	10.465116279069768	28	58
DET ADJ PUNCT ADJ NOUN	10.472295514511874	158	221
NUM ADP ADJ NOUN	10.755555555555556	112	68
CCONJ VERB PRON	10.845102505694761	185	254
AUX VERB AUX ADJ	10.903225806451612	150	98
ADJ NOUN ADP NOUN ADP DET NOUN PUNCT NOUN NUM PUNCT VERB PROPN	11.0	0	11
ADP DET ADJ NUM NOUN PUNCT	11.307692307692308	9	30
ADP PRON ADJ NOUN CCONJ	11.628930817610064	58	101
ADP NUM PUNCT	11.813895781637717	236	167
ADV SCONJ NUM SYM	12.0	12	0
AUX PRON VERB	12.9438202247191	404	308
DET NUM SYM NOUN	13.37037037037037	4	23
PROPN CCONJ PROPN	13.448	42	83
SCONJ ADV VERB	14.019417475728156	244	168
ADJ NOUN PUNCT NOUN NUM PUNCT VERB PROPN	14.222222222222221	1	17
ADV SCONJ NUM NUM NOUN	14.222222222222221	17	1
AUX AUX	14.4	27	63
DET ADJ PUNCT	14.400921658986174	480	605
DET ADV ADJ NOUN	14.812765957446809	88	147
NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN CCONJ DET NOUN ADP NOUN PUNCT NOUN	15.210526315789474	1	18
PRON ADV VERB	15.304347826086957	297	209
DET NOUN	15.365824308062574	472	359
ADP NOUN CCONJ NOUN PUNCT	15.505567928730512	508	390
PRON DET VERB	15.8	237	158
SCONJ DET NOUN	15.941323345817727	344	457
PART ADV VERB	16.078260869565216	36	79
DET PUNCT PRON VERB	16.24024024024024	281	385
PUNCT PROPN PUNCT PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT	17.285714285714285	3	25
ADP PROPN	18.158953722334005	201	296
PUNCT NOUN PUNCT PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT	18.181818181818183	1	21
ADP DET ADV ADJ NOUN	19.240469208211145	130	211
DET PROPN	19.513513513513512	18	56
NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN	19.7027027027027	5	32
PART AUX	19.88235294117647	4	30
NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT	20.166666666666668	1	23
PROPN ADP DET NOUN PUNCT PUNCT PROPN PROPN PUNCT	21.0	0	21
INTJ	21.0	0	21
ADP PRON ADJ NOUN	21.751020408163264	86	159
PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT NOUN CCONJ NOUN PUNCT	22.0	0	22
ADP NUM PROPN NUM	22.0	0	22
ADJ PUNCT ADJ CCONJ ADJ PUNCT	22.05	61	19
NUM SYM NUM PUNCT	23.14814814814815	1	26
NUM	23.775280898876403	132	224
AUX AUX ADV VERB PUNCT	24.142857142857142	12	51
PROPN AUX	24.894117647058824	124	216
ADP PRON ADJ NOUN PUNCT	25.691629955947135	173	281
AUX DET NOUN ADJ	25.798657718120804	236	360
PUNCT NOUN PUNCT X	26.0	0	26
ADP ADJ PROPN PUNCT	26.456869009584665	202	111
NOUN ADP DET NOUN PUNCT PUNCT PUNCT NOUN PUNCT	26.5609756097561	4	37
AUX AUX ADJ	27.28391167192429	112	205
AUX DET ADV ADJ	29.357798165137616	69	149
ADV AUX VERB	29.588055130168453	257	396
ADJ	30.339105339105338	419	274
CCONJ ADV VERB	30.852233676975946	358	224
PUNCT DET NOUN AUX VERB ADP NUM NOUN CCONJ VERB ADP NUM NOUN PUNCT	31.0	0	31
NOUN PUNCT VERB PROPN	32.24817518248175	90	184
X	34.0	0	34
ADJ PUNCT ADJ CCONJ ADJ NOUN	34.61538461538461	82	22
PROPN SCONJ ADV VERB PUNCT VERB PROPN	35.0	0	35
NOUN ADP NOUN CCONJ NOUN NOUN PUNCT VERB PROPN	35.1025641025641	1	38
SCONJ	35.35804195804196	437	278
ADP PROPN NUM PUNCT	35.88659793814433	19	78
PROPN ADP DET NOUN PUNCT PUNCT	36.48051948051948	12	65
AUX ADV ADJ	37.22466960352423	292	162
SCONJ PROPN PROPN VERB PUNCT	37.355555555555554	2	43
AUX PART ADV VERB	39.18518518518518	4	50
AUX PRON ADJ PUNCT SCONJ	39.340425531914896	45	2
NUM NUM NUM	39.340425531914896	2	45
ADJ NOUN ADP ADJ ADJ PUNCT ADJ	39.34710743801653	95	26
NOUN ADP NOUN VERB ADP DET NOUN PUNCT VERB PROPN	40.09090909090909	1	43
ADP DET ADJ PROPN NOUN PUNCT	40.69491525423729	5	54
PRON ADV AUX VERB PART VERB	41.0	0	41
ADP NUM PROPN NUM PUNCT	41.08888888888889	1	44
DET ADJ	41.53187613843352	199	350
ADP PROPN CCONJ PROPN PUNCT	42.29323308270677	29	104
NUM PUNCT NUM PUNCT	43.61290322580645	57	5
PART	44.78698224852071	128	41
DET DET NOUN PUNCT	44.82666666666667	218	382
NOUN ADP PROPN ADP ADJ NOUN PUNCT VERB PROPN	45.301886792452834	2	51
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT PUNCT PROPN PUNCT PROPN PROPN PUNCT	46.0	0	46
ADJ CCONJ ADV ADJ	47.41463414634146	177	69
ADP DET ADJ CCONJ ADJ NOUN	47.532934131736525	104	230
AUX ADV VERB	47.67350427350427	376	209
PUNCT PROPN PUNCT ADJ NOUN ADJ PUNCT	48.05714285714286	64	6
AUX AUX VERB	48.858156028368796	29	112
PART AUX ADV ADJ	49.59016393442623	3	58
ADP ADJ NUM NOUN	49.7787610619469	94	19
ADP PRON PUNCT	52.12403100775194	176	340
ADP NOUN ADP DET PROPN PUNCT PROPN PROPN PUNCT PUNCT	55.0	0	55
INTJ PUNCT	55.0	0	55
NUM NOUN NUM	56.22522522522522	95	16
PUNCT DET PRON ADV VERB	56.627450980392155	89	13
PRON AUX PUNCT ADV PUNCT	56.822784810126585	6	73
