pattern	chi2	cs	en
PRON PRON VERB	3.878787878787879	25	41
NOUN ADP NOUN NOUN PUNCT	3.9452054794520546	61	85
PRON AUX ADV ADJ SCONJ	4.0	0	4
ADJ ADP NUM NUM NOUN	4.0	4	0
PROPN PROPN PART NOUN	4.0	0	4
NUM ADP ADJ NOUN	4.0	4	0
INTJ PUNCT	4.0	0	4
ADP ADJ NOUN CCONJ	4.166666666666667	17	7
AUX DET ADV ADJ	4.2631578947368425	5	14
ADP ADJ ADJ NOUN	4.413793103448276	37	21
SCONJ DET NOUN	4.446153846153846	24	41
SCONJ DET NOUN AUX VERB	4.454545454545454	2	9
NOUN PUNCT DET ADV VERB	4.454545454545454	9	2
DET ADV ADJ NOUN	4.481481481481482	8	19
SCONJ VERB DET NOUN	4.481481481481482	8	19
NOUN ADP NOUN NOUN	4.496402877697841	57	82
SCONJ DET ADJ NOUN AUX VERB	4.5	1	7
ADJ NOUN PUNCT DET AUX	4.571428571428571	11	3
DET NOUN SCONJ VERB	4.571428571428571	3	11
AUX PRON VERB	4.628571428571429	26	44
ADP DET VERB NOUN PUNCT	4.923076923076923	34	18
PRON AUX PUNCT ADV PUNCT	5.0	0	5
DET PROPN ADV VERB	5.0	0	5
AUX DET PROPN VERB	5.0	0	5
ADV ADV VERB	5.121212121212121	23	10
PRON DET VERB	5.232558139534884	29	14
SCONJ DET NOUN AUX	5.260869565217392	6	17
PUNCT ADJ NOUN ADJ PUNCT	5.4	12	3
PART ADV VERB	5.4	3	12
ADP NOUN PART NOUN	5.444444444444445	1	8
AUX ADJ	5.975609756097561	120	85
ADP DET NOUN ADP DET PROPN PROPN	6.0	0	6
ADJ NOUN AUX AUX VERB ADP	6.0	0	6
AUX ADV AUX VERB ADP	6.0	0	6
PRON AUX ADV ADV VERB	6.0	0	6
AUX ADV ADJ PUNCT SCONJ	6.0	6	0
PRON AUX ADV AUX VERB	6.0	0	6
DET PROPN PROPN AUX VERB	6.0	0	6
DET ADJ PROPN	6.0	0	6
NOUN CCONJ VERB	6.095238095238095	29	13
