pattern	chi2	cs	en
PRON PRON VERB	3.878787878787879	25	41
PRON AUX ADV ADJ SCONJ	4.0	0	4
ADJ ADP NUM NUM NOUN	4.0	4	0
NUM ADP ADJ NOUN	4.0	4	0
PROPN PROPN PART NOUN	4.0	0	4
DET PROPN PART	4.0	0	4
INTJ PUNCT	4.0	0	4
ADP ADJ NOUN CCONJ	4.166666666666667	17	7
AUX DET ADV ADJ	4.2631578947368425	5	14
ADP ADJ ADJ NOUN	4.413793103448276	37	21
NOUN PUNCT DET ADV VERB	4.454545454545454	9	2
PART ADJ NOUN	4.454545454545454	2	9
DET ADV ADJ NOUN	4.481481481481482	8	19
SCONJ VERB DET NOUN	4.481481481481482	8	19
PROPN PROPN PUNCT	4.481481481481482	8	19
SCONJ DET ADJ NOUN AUX VERB	4.5	1	7
ADJ NOUN PUNCT DET AUX	4.571428571428571	11	3
DET NOUN SCONJ VERB	4.571428571428571	3	11
ADP PROPN PROPN	4.571428571428571	3	11
AUX PRON VERB	4.628571428571429	26	44
ADV PUNCT	4.72289156626506	69	97
ADV ADJ PUNCT	4.828571428571428	24	11
ADP DET VERB NOUN PUNCT	4.923076923076923	34	18
PRON AUX PUNCT ADV PUNCT	5.0	0	5
DET PROPN PROPN VERB	5.0	0	5
ADP NOUN PART NOUN	5.0	0	5
PROPN PROPN AUX VERB	5.0	0	5
AUX DET PROPN VERB	5.0	0	5
DET PROPN ADV VERB	5.0	0	5
ADJ CCONJ ADJ	5.0	0	5
PRON AUX	5.0	5	15
ADP DET ADJ NOUN	5.157894736842105	12	26
NUM NOUN PUNCT	5.157894736842105	26	12
PRON DET VERB	5.232558139534884	29	14
ADJ CCONJ ADJ PUNCT	5.333333333333333	10	2
PUNCT ADJ NOUN ADJ PUNCT	5.4	12	3
AUX PART	5.444444444444445	1	8
ADJ CCONJ ADJ NOUN PUNCT	5.555555555555555	14	4
PART	5.555555555555555	14	4
ADP DET NOUN ADP DET PROPN PROPN	6.0	0	6
ADJ NOUN AUX AUX VERB ADP	6.0	0	6
AUX ADV AUX VERB ADP	6.0	0	6
AUX ADV ADJ PUNCT SCONJ	6.0	6	0
PRON AUX ADV AUX VERB	6.0	0	6
PRON AUX ADV ADV VERB	6.0	0	6
DET PROPN PROPN AUX VERB	6.0	0	6
ADP DET PROPN PROPN	6.0	0	6
PRON ADJ PART VERB	6.0	0	6
DET ADJ PROPN	6.0	0	6
ADP DET NOUN PART NOUN	6.230769230769231	2	11
PROPN AUX VERB	6.230769230769231	2	11
ADJ	6.4	28	12
ADP DET NOUN CCONJ NOUN	6.48	16	34
NOUN ADP NOUN ADP NOUN NOUN PUNCT	6.5636363636363635	18	37
ADP PROPN PUNCT	6.75	15	33
PRON AUX AUX ADJ PART VERB	7.0	0	7
ADP DET NUM NOUN	7.0	0	7
PROPN PART NOUN	7.0	0	7
DET PROPN PROPN	7.0	0	7
SCONJ PRON AUX	7.0	0	7
ADP PROPN CCONJ	7.142857142857143	2	12
PART VERB	7.2	4	16
PRON AUX ADV	7.3478260869565215	5	18
ADP ADJ NOUN	7.363636363636363	31	13
PART NOUN AUX	7.363636363636363	1	10
NOUN CCONJ NOUN NOUN PUNCT	7.410256410256411	28	11
CCONJ ADV VERB	7.538461538461538	20	6
PRON AUX ADV ADJ PART VERB	8.0	0	8
PRON AUX AUX ADV ADJ	8.0	0	8
AUX AUX ADV VERB PUNCT	8.0	0	8
NOUN AUX ADV AUX VERB	8.0	0	8
AUX ADV AUX VERB PUNCT	8.0	0	8
DET PROPN PART NOUN	8.0	0	8
AUX ADJ PART VERB	8.0	0	8
PRON AUX AUX	8.0	0	8
PRON AUX ADJ	8.0	3	15
NOUN PUNCT DET AUX	8.166666666666666	19	5
PRON AUX ADV ADJ	8.333333333333334	1	11
ADV	8.4	126	84
NOUN ADP NUM	8.526315789473685	28	10
PRON VERB	8.947712418300654	95	58
NOUN ADP PROPN ADJ NOUN PUNCT VERB PROPN	9.0	0	9
SCONJ PRON AUX PART VERB	9.0	0	9
PRON AUX PART ADV VERB	9.0	0	9
ADP DET DET NOUN PUNCT	9.280701754385966	17	40
PRON AUX ADV VERB PART VERB	10.0	0	10
