pattern	chi2	cs	te.nl
ADP DET ADJ PUNCT ADJ CCONJ ADJ NOUN	4.188405797101449	26	43
PROPN CCONJ NOUN PROPN	4.411764705882353	33	18
PUNCT PROPN PUNCT PROPN	4.658064516129032	136	174
PART ADJ PUNCT	6.222222222222222	77	49
ADP PROPN CCONJ PROPN	6.627450980392157	38	64
SYM	7.574132492113565	134	183
PROPN PUNCT	7.982800982800983	871	757
ADJ NOUN PUNCT NOUN NUM ADP DET NOUN PUNCT	8.047619047619047	4	17
ADP DET PROPN SYM NOUN PUNCT PUNCT	9.0	0	9
NUM SYM NUM SYM PROPN	9.0	0	9
ADV SCONJ NUM NUM NOUN	9.8	17	3
ADJ ADJ PROPN ADJ PROPN NUM PUNCT	10.0	10	0
ADP DET SYM SYM NOUN PUNCT PUNCT	10.0	0	10
ADP ADV NUM NOUN	10.382716049382717	26	55
ADP PRON ADJ NOUN PUNCT	10.651006711409396	189	258
PUNCT PROPN PUNCT PROPN ADJ PUNCT	11.91891891891892	29	8
ADV SCONJ NUM SYM	12.0	12	0
ADJ NOUN CCONJ ADJ NOUN PUNCT NOUN PUNCT PUNCT VERB VERB	12.25	1	15
AUX DET ADV ADJ NOUN	12.27007299270073	48	89
NUM ADP ADJ NOUN	15.83838383838384	127	71
ADP PROPN CCONJ	16.225165562913908	116	186
CCONJ DET VERB ADP NOUN	17.717791411042946	125	201
ADJ NOUN PUNCT NOUN NUM PUNCT PUNCT VERB VERB	18.0	0	18
PUNCT PUNCT ADJ PUNCT PROPN DET NOUN PUNCT	19.0	0	19
PUNCT SYM PUNCT PROPN DET NOUN PUNCT	19.0	0	19
SCONJ PROPN	19.48167539267016	65	126
ADP NUM NOUN	20.369905956112852	262	376
PUNCT DET PUNCT PROPN DET NOUN PUNCT	20.571428571428573	2	26
PROPN PROPN PUNCT	21.235294117647058	165	260
ADP NOUN PUNCT NOUN PUNCT	21.487903225806452	569	423
AUX PRON ADJ PUNCT SCONJ	21.49122807017544	46	11
PUNCT PROPN PUNCT	21.492434662998626	301	426
ADP NUM CCONJ NUM	22.70149253731343	14	53
PUNCT DET PRON ADV VERB	23.516129032258064	89	35
NUM NOUN	25.80629539951574	486	340
