pattern	chi2	cs	te.nl
DET NUM NOUN	4.10077519379845	53	76
ADP DET ADJ PUNCT ADJ CCONJ ADJ NOUN	4.188405797101449	26	43
CCONJ VERB PRON	4.213032581453634	220	179
PROPN CCONJ NOUN PROPN	4.411764705882353	33	18
ADP PROPN PUNCT	5.686390532544379	307	369
NUM	6.117824773413897	143	188
PART ADJ PUNCT	6.222222222222222	77	49
ADP NOUN CCONJ NOUN PUNCT	6.467357512953368	522	443
ADP PROPN CCONJ PROPN	6.627450980392157	38	64
ADJ PUNCT PUNCT PUNCT PROPN PUNCT	6.722222222222222	25	47
ADP NUM NOUN	6.8388998035363455	284	225
SCONJ	7.474097331240189	353	284
ADJ NOUN PUNCT NOUN NUM ADP DET NOUN PUNCT	8.047619047619047	4	17
ADP VERB NOUN PUNCT	8.480961923847696	453	545
ADP DET PROPN SYM NOUN PUNCT PUNCT	9.0	0	9
NUM SYM NUM SYM PROPN	9.0	0	9
INTJ	9.0	0	9
ADV SCONJ NUM NUM NOUN	9.8	17	3
ADP DET SYM SYM NOUN PUNCT PUNCT	10.0	0	10
ADJ ADJ PROPN ADJ PROPN NUM PUNCT	10.0	10	0
PUNCT PROPN PUNCT	10.115789473684211	221	159
ADP ADV NUM NOUN	10.382716049382717	26	55
ADP PRON ADJ NOUN PUNCT	10.651006711409396	189	258
PROPN PROPN PUNCT	10.775862068965518	141	91
PUNCT PROPN PUNCT PROPN ADJ PUNCT	11.91891891891892	29	8
ADV SCONJ NUM SYM	12.0	12	0
ADJ NOUN CCONJ ADJ NOUN PUNCT NOUN PUNCT PUNCT VERB VERB	12.25	1	15
AUX DET ADV ADJ NOUN	12.27007299270073	48	89
SYM SYM	13.0	0	13
ADP PROPN CCONJ	13.337164750957854	101	160
PROPN PUNCT	14.114503816793894	44	87
ADV ADV VERB	14.83270911360799	455	346
AUX VERB ADP ADJ NOUN	15.04822695035461	404	301
NUM ADP ADJ NOUN	15.83838383838384	127	71
CCONJ DET VERB ADP NOUN	17.717791411042946	125	201
ADJ NOUN PUNCT NOUN NUM PUNCT PUNCT VERB VERB	18.0	0	18
PUNCT PUNCT ADJ PUNCT PROPN DET NOUN PUNCT	19.0	0	19
PUNCT SYM PUNCT PROPN DET NOUN PUNCT	19.0	0	19
PUNCT DET PUNCT PROPN DET NOUN PUNCT	20.571428571428573	2	26
DET X CCONJ NOUN	21.0	0	21
ADP NOUN PUNCT NOUN PUNCT	21.487903225806452	569	423
AUX PRON ADJ PUNCT SCONJ	21.49122807017544	46	11
ADP NUM	22.204379562043794	98	176
PUNCT PROPN DET NOUN PUNCT	23.29032258064516	12	50
PUNCT DET PRON ADV VERB	23.516129032258064	89	35
ADP ADJ PROPN	24.68794326241135	100	41
SCONJ ADV	24.73246753246753	316	454
ADP NUM PROPN	25.043478260869566	22	70
VERB NOUN PUNCT VERB VERB	25.19047619047619	214	122
PUNCT CCONJ PUNCT NOUN DET NOUN PUNCT	26.2987012987013	16	61
NOUN PUNCT PUNCT PUNCT PROPN PUNCT PROPN DET NOUN PUNCT	27.129032258064516	1	30
PROPN PROPN PROPN PROPN PUNCT	29.333333333333332	11	55
ADP DET ADV ADJ NOUN	29.882978723404257	135	241
ADP DET NOUN PUNCT PUNCT PUNCT CCONJ PUNCT PROPN DET NOUN PUNCT	30.0	0	30
PUNCT DET NOUN AUX ADP NUM NOUN VERB CCONJ ADP NUM NOUN VERB PUNCT	31.0	0	31
ADJ PUNCT PUNCT PUNCT PROPN PUNCT PRON VERB	31.114285714285714	1	34
VERB NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT	32.0	0	32
ADJ PUNCT ADJ CCONJ ADJ PUNCT	32.05128205128205	64	14
DET ADJ ADJ NOUN	32.13536201469045	389	564
ADP PROPN	32.43859649122807	192	321
PROPN PROPN PROPN	33.80246913580247	44	118
DET ADJ PROPN	34.71186440677966	27	91
ADP ADJ NUM NOUN	35.56923076923077	99	31
NOUN DET NOUN PUNCT NOUN CCONJ NOUN PUNCT	36.28346456692913	79	175
X	37.0	0	37
AUX ADV VERB	37.5125348189415	438	639
NUM NUM NOUN	37.72268907563025	93	26
PUNCT PROPN PUNCT PROPN DET NOUN PUNCT NOUN CCONJ NOUN PUNCT	40.0	0	40
