pattern	chi2	cs	te.nl
ADP ADJ NUM NOUN	4.0	4	0
ADP NUM PROPN NUM	4.0	0	4
ADJ PART AUX PUNCT	4.0	0	4
SYM	4.0	0	4
CCONJ DET NOUN	4.446153846153846	24	41
PUNCT ADJ NOUN ADJ PUNCT	4.454545454545454	9	2
NOUN PUNCT DET AUX	4.454545454545454	9	2
ADP DET ADJ ADJ NOUN	4.481481481481482	8	19
ADJ VERB PUNCT	4.6421052631578945	37	58
NUM NOUN	4.787234042553192	16	31
ADP PROPN NUM	5.0	0	5
ADJ NOUN CCONJ ADJ NOUN PUNCT	5.333333333333333	10	2
VERB PRON PUNCT SCONJ	5.444444444444445	8	1
ADP DET ADJ ADJ NOUN PUNCT	5.538461538461538	7	19
VERB PUNCT SCONJ PRON VERB	6.0	6	0
ADP ADJ CCONJ ADJ NOUN	6.0	6	0
ADP DET PROPN PROPN	6.0	0	6
CCONJ PRON VERB ADV	6.0	0	6
DET PROPN PROPN	6.0	0	6
ADP NUM PROPN	6.0	0	6
PART AUX VERB	6.0	0	6
CCONJ DET ADJ NOUN	6.368421052631579	4	15
CCONJ VERB PRON	6.368421052631579	4	15
ADP PROPN PROPN	6.4	1	9
ADP VERB NOUN PUNCT	6.428571428571429	25	10
PRON PRON VERB	6.48	16	34
ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT	7.0	0	7
AUX DET ADV ADJ NOUN	7.0	0	7
PUNCT DET PRON VERB	7.0	7	0
AUX PRON ADV ADV	7.0	0	7
INTJ PUNCT	7.0	0	7
AUX ADJ PUNCT SCONJ	7.363636363636363	10	1
ADP DET VERB	7.5	45	75
ADP NOUN PUNCT NOUN PUNCT	7.8108108108108105	10	27
NOUN PUNCT NOUN ADJ PUNCT	8.0	8	0
ADP DET NUM NOUN	8.0	0	8
SCONJ PRON ADJ AUX	8.0	0	8
ADP DET ADJ PROPN	8.0	0	8
INTJ	8.0	0	8
ADP DET NOUN CCONJ DET NOUN	8.066666666666666	2	13
AUX DET NOUN ADJ	8.1	11	29
ADP NUM NOUN	8.1	11	29
AUX VERB ADP DET ADJ NOUN	8.333333333333334	1	11
PRON VERB ADV	8.642857142857142	17	39
SCONJ DET ADJ NOUN	8.909090909090908	4	18
DET ADJ PROPN	9.0	0	9
PRON VERB	9.142857142857142	102	150
ADJ NOUN PUNCT DET VERB	10.285714285714286	13	1
ADJ CCONJ ADJ NOUN	10.285714285714286	13	1
NOUN CCONJ NOUN	10.666666666666666	20	4
PRON NOUN VERB PUNCT	10.964912280701755	16	41
PART AUX	11.0	0	11
ADV AUX VERB	11.79245283018868	14	39
DET ADJ ADJ NOUN	11.845070422535212	21	50
VERB PUNCT SCONJ AUX ADJ	12.0	12	0
NUM PUNCT NUM PUNCT	12.0	12	0
PRON AUX ADV ADJ	12.565217391304348	3	20
ADP DET VERB ADP DET NOUN	13.235294117647058	1	16
NOUN CCONJ ADJ NOUN	13.5	21	3
ADJ NOUN CCONJ NOUN	13.761904761904763	19	2
AUX PRON VERB	14.254237288135593	15	44
AUX VERB ADP DET NOUN	14.4	8	32
SCONJ PRON	14.534883720930232	9	34
PRON VERB SCONJ DET NOUN	14.727272727272727	2	20
NUM	14.877551020408163	38	11
ADJ CCONJ ADJ NOUN PUNCT	15.0	15	0
PRON VERB PRON ADV	15.0	0	15
NOUN PUNCT DET VERB	15.695652173913043	21	2
AUX ADV VERB	15.867924528301886	12	41
PRON VERB SCONJ PRON	16.0	0	16
ADP DET PROPN PUNCT	16.03030303030303	5	28
ADP PRON NOUN PUNCT	16.2	9	36
PRON ADJ AUX	17.19047619047619	1	20
ADJ NOUN PUNCT NOUN PUNCT	18.0	28	4
ADP PROPN	18.68888888888889	8	37
SCONJ DET NOUN	18.692307692307693	6	33
PUNCT X	19.0	0	19
X	19.0	0	19
ADP PRON NOUN	19.692307692307693	10	42
PART	20.253012048192772	21	62
ADP ADJ NOUN	20.503649635036496	42	95
ADV AUX PRON	21.16	1	24
ADV AUX DET NOUN	24.02857142857143	3	32
CCONJ	24.6046511627907	66	20
NOUN CCONJ NOUN PUNCT	24.641025641025642	35	4
PUNCT NOUN PUNCT	24.653333333333332	59	16
PUNCT DET NOUN AUX ADP NUM NOUN VERB PUNCT	25.0	0	25
ADP PART VERB PUNCT	25.0	0	25
VERB	25.565217391304348	96	180
ADP DET PROPN	25.972972972972972	3	34
PRON AUX ADV	26.68421052631579	9	48
ADP DET NOUN ADP DET ADJ NOUN PUNCT	28.0	0	28
ADP PART VERB	28.0	0	28
DET PROPN	29.0	0	29
PRON AUX DET ADJ NOUN	29.454545454545453	4	40
ADJ ADJ NOUN PUNCT	29.896551724137932	69	18
CCONJ ADJ NOUN PUNCT	30.42105263157895	36	2
PART VERB PUNCT	30.857142857142858	3	39
AUX ADJ	34.48066298342541	130	51
PRON VERB DET NOUN	36.642105263157895	18	77
ADV	37.22456140350877	91	194
VERB PUNCT SCONJ	38.34782608695652	44	2
ADJ ADJ NOUN	41.795918367346935	81	17
ADP DET ADJ NOUN PUNCT	41.83168316831683	18	83
AUX VERB PUNCT	44.32515337423313	39	124
PART VERB	45.63157894736842	3	54
PRON AUX PRON	47.07843137254902	1	50
PUNCT SCONJ	47.515151515151516	61	5
PRON AUX ADJ	47.68493150684932	7	66
ADJ	49.65940054495913	251	116
PROPN PUNCT	55.24817518248175	112	25
NUM PUNCT	58.24242424242424	64	2
ADP DET NOUN ADP DET NOUN PUNCT	62.486486486486484	3	71
ADP DET NOUN ADP NOUN PUNCT	65.60952380952381	11	94
ADJ NOUN PUNCT	73.92307692307692	166	42
ADJ NOUN	74.52709359605912	163	40
PRON AUX DET NOUN	75.06382978723404	5	89
PUNCT PROPN PUNCT	79.67368421052632	91	4
ADP DET ADJ	80.52941176470588	21	132
PUNCT PROPN PUNCT PROPN	86.0	86	0
PROPN PROPN	88.64028776978417	125	14
ADP DET ADJ NOUN	89.2937062937063	15	128
DET NOUN AUX VERB	90.61290322580645	9	115
AUX	102.41284403669725	72	255
NOUN ADJ PUNCT	105.8	159	21
ADP NOUN	109.35643564356435	135	370
DET ADJ NOUN	148.6934865900383	32	229
DET ADJ	157.31802120141342	36	247
PROPN	157.78616352201257	271	47
PUNCT	166.31772575250835	261	38
PRON	262.7806691449814	81	457
ADP	276.4489465153971	102	515
ADP DET	310.0661625708885	62	467
ADP DET NOUN	319.36290322580646	49	447
DET	482.765445026178	138	817
DET NOUN	654.9723502304147	57	811
