pattern	chi2	en	te.nl
CCONJ PRON VERB PRON	3.911627906976744	122	93
ADP PRON ADJ NOUN PUNCT	4.190082644628099	201	162
DET ADJ NOUN AUX DET NOUN PUNCT	4.375757575757576	146	184
SYM NUM SYM NUM	4.5	7	1
ADJ ADP NUM NUM NOUN	4.5675675675675675	25	12
ADP NOUN CCONJ ADJ NOUN PUNCT	5.020080321285141	274	224
SCONJ DET NOUN AUX VERB	5.068642745709829	292	349
ADP DET NOUN ADP NOUN PUNCT	5.159958720330238	919	1019
NOUN PUNCT NOUN CCONJ NOUN	5.160975609756098	228	182
INTJ	5.377777777777778	56	34
ADP ADJ NOUN CCONJ	5.509289617486338	422	493
CCONJ PRON AUX ADV	5.584717607973422	171	130
DET NUM NOUN	5.63063063063063	43	68
PRON NOUN VERB PART VERB	5.7280334728033475	138	101
DET DET NOUN PUNCT	5.751159196290572	293	354
X	5.761904761904762	31	53
PRON AUX ADV ADJ	5.776632302405498	166	125
ADP DET ADJ NOUN PUNCT	5.8458452722063035	822	923
NOUN ADP NUM	5.951945080091533	193	244
NOUN PROPN PUNCT NOUN CCONJ NOUN PUNCT	6.0	36	18
AUX AUX ADV VERB PUNCT	6.05	51	29
ADP NOUN NUM	6.183946488294314	128	171
AUX DET ADV ADJ	6.391304347826087	24	45
ADP ADJ PROPN PUNCT	6.48	118	82
AUX ADV AUX VERB ADP	6.481481481481482	112	77
AUX VERB ADP DET ADJ NOUN	6.592156862745098	551	469
NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN PUNCT	6.666666666666667	20	40
ADJ CCONJ ADV ADJ	6.826666666666667	91	59
NOUN VERB ADP NOUN PART NOUN PUNCT VERB PROPN	7.0	7	0
ADJ NOUN AUX VERB	7.028238182934316	868	761
ADJ CCONJ ADJ PUNCT	7.167539267015707	114	77
ADP PROPN NUM	7.183908045977011	31	56
ADJ NOUN PUNCT NOUN NUM ADP DET NOUN PUNCT	7.2	4	16
AUX VERB	7.2592592592592595	68	40
PART VERB SCONJ PRON	7.472324723247232	158	113
CCONJ	7.51360544217687	541	635
PRON VERB SCONJ	7.621951219512195	189	139
ADP NUM PROPN	7.716049382716049	53	28
VERB NOUN PUNCT PUNCT NOUN PUNCT	7.895522388059701	45	22
PRON AUX ADJ	7.898172323759791	219	164
