pattern	chi2	en	te.nl
SCONJ ADJ NOUN	3.8461538461538463	8	18
AUX AUX VERB PUNCT	3.9302325581395348	28	15
NOUN ADP ADJ NOUN PUNCT VERB PROPN	4.0	4	0
DET PROPN ADV VERB	4.0	4	0
SYM NUM SYM NUM	4.0	4	0
AUX PRON ADV ADV	4.0	4	12
ADP ADJ PUNCT	4.081632653061225	59	39
ADP DET VERB ADP NOUN	4.166666666666667	7	17
PRON VERB SCONJ DET NOUN	4.166666666666667	7	17
PART VERB PRON NOUN	4.2631578947368425	14	5
PART VERB SCONJ	4.454545454545454	9	2
PRON VERB PRON ADV	4.481481481481482	8	19
PART AUX DET NOUN	4.5	7	1
PRON AUX ADV ADJ PUNCT	4.666666666666667	28	14
PROPN AUX	4.666666666666667	28	14
ADP DET ADJ ADJ NOUN PUNCT	4.764705882352941	4	13
PRON AUX ADJ PART VERB	4.764705882352941	13	4
DET ADJ NOUN	4.839506172839506	67	95
PRON AUX ADV ADJ	4.898305084745763	38	21
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT	5.0	0	5
ADP DET ADV ADJ NOUN PUNCT	5.0	0	5
PRON VERB SCONJ PRON	5.260869565217392	6	17
ADP DET NOUN PART NOUN	5.4	12	3
ADP PROPN PROPN PUNCT	5.4	12	3
ADJ ADJ AUX PUNCT	5.444444444444445	1	8
SCONJ DET ADJ NOUN	5.827586206896552	8	21
PRON AUX PUNCT ADV PUNCT	6.0	6	0
DET PROPN PART NOUN	6.0	6	0
INTJ PUNCT	6.0	0	6
PART AUX VERB	6.125	23	9
PRON AUX DET ADJ NOUN PUNCT	6.230769230769231	35	17
CCONJ ADJ NOUN PUNCT	6.230769230769231	11	2
DET PROPN AUX VERB	6.230769230769231	11	2
AUX PRON ADV ADJ	6.230769230769231	2	11
NUM NUM	6.4	9	1
SCONJ PRON	6.48	16	34
AUX ADJ PART VERB	6.545454545454546	17	5
SCONJ ADV	6.76	6	19
ADP ADJ NOUN	6.923076923076923	50	80
NOUN VERB ADP NOUN PART NOUN CCONJ NOUN PUNCT VERB PROPN	7.0	7	0
PRON AUX DET ADJ NOUN	7.229508196721311	41	20
DET PROPN PART	7.363636363636363	10	1
PART NOUN AUX	7.363636363636363	10	1
PROPN AUX VERB	7.538461538461538	20	6
DET NOUN AUX ADJ PUNCT	7.895522388059701	45	22
SCONJ PRON AUX PART VERB	8.0	8	0
PRON AUX AUX ADV ADJ	8.0	8	0
AUX PART ADV VERB	8.0	8	0
SCONJ PRON AUX ADJ	8.0	8	0
PRON AUX ADV	8.0	80	48
ADP PROPN PROPN	8.0	15	3
NUM SYM	8.0	8	0
PART AUX	8.1	29	11
AUX PRON VERB	8.24390243902439	28	54
ADJ NOUN AUX AUX VERB ADP	8.333333333333334	11	1
ADP DET NOUN CCONJ NOUN	8.757575757575758	8	25
PRON AUX ADV VERB PART VERB	9.0	9	0
