pattern	chi2	en	te.nl
ADP DET PUNCT	3.92	18	32
AUX AUX VERB PUNCT	3.9302325581395348	28	15
NOUN ADP ADJ NOUN PUNCT VERB PROPN	4.0	4	0
AUX PRON ADV ADV	4.0	4	12
SYM NUM SYM NUM	4.0	4	0
DET PROPN ADV VERB	4.0	4	0
PART ADV VERB	4.0	4	0
SYM SYM	4.0	0	4
NUM SYM	4.0	4	0
ADP DET VERB ADP NOUN	4.166666666666667	7	17
PRON VERB SCONJ DET NOUN	4.166666666666667	7	17
ADP VERB NOUN PUNCT	4.260869565217392	16	30
PART VERB PRON NOUN	4.2631578947368425	14	5
DET DET NOUN PUNCT	4.266666666666667	38	22
ADP DET NOUN ADP NOUN	4.3478260869565215	36	56
ADP PROPN PROPN PUNCT	4.454545454545454	9	2
PART VERB SCONJ	4.454545454545454	9	2
PRON VERB PRON ADV	4.481481481481482	8	19
ADP DET ADJ ADJ NOUN	4.5	1	7
PART AUX DET NOUN	4.5	7	1
DET NOUN ADP NOUN CCONJ NOUN	4.545454545454546	6	16
PRON AUX ADV ADJ PUNCT	4.666666666666667	28	14
DET VERB NOUN	4.761904761904762	32	52
ADP DET ADJ ADJ NOUN PUNCT	4.764705882352941	4	13
PRON AUX ADJ PART VERB	4.764705882352941	13	4
PRON ADJ AUX	4.764705882352941	4	13
NUM NOUN	4.84	18	7
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT	5.0	0	5
ADP DET ADV ADJ NOUN PUNCT	5.0	0	5
PRON VERB SCONJ PRON	5.260869565217392	6	17
ADP ADJ NOUN PUNCT	5.2631578947368425	48	28
ADP NUM	5.333333333333333	10	2
ADP DET NOUN PART NOUN	5.4	12	3
ADJ ADJ AUX PUNCT	5.444444444444445	1	8
ADP DET ADJ	5.452830188679245	18	35
PRON AUX ADJ	5.487804878048781	13	28
ADP NUM NOUN	5.555555555555555	4	14
ADP DET NOUN PUNCT	5.5576923076923075	87	121
SCONJ DET ADJ NOUN	5.827586206896552	8	21
ADP NUM PUNCT	5.827586206896552	21	8
PRON AUX PUNCT ADV PUNCT	6.0	6	0
DET PROPN PART NOUN	6.0	6	0
PROPN PART NOUN	6.0	6	0
INTJ PUNCT	6.0	0	6
ADJ NOUN	6.095238095238095	100	68
DET NOUN	6.127659574468085	35	59
PRON AUX DET ADJ NOUN PUNCT	6.230769230769231	35	17
AUX PRON ADV ADJ	6.230769230769231	2	11
DET PROPN AUX VERB	6.230769230769231	11	2
CCONJ ADJ NOUN PUNCT	6.230769230769231	11	2
AUX AUX ADJ	6.4	9	1
SCONJ DET NOUN	6.428571428571429	10	25
SCONJ PRON	6.428571428571429	10	25
AUX ADJ PUNCT	6.533333333333333	22	8
SCONJ ADV	6.76	6	19
NOUN VERB ADP NOUN PART NOUN CCONJ NOUN PUNCT VERB PROPN	7.0	7	0
NOUN VERB ADP NOUN PART NOUN PUNCT VERB PROPN	7.0	7	0
AUX PART	7.0	7	0
PROPN PROPN PUNCT	7.142857142857143	12	2
ADP DET PROPN PROPN PUNCT	7.2	16	4
NOUN AUX VERB	7.22	119	81
ADV ADJ PUNCT	7.229508196721311	20	41
PRON ADV VERB PART VERB	7.363636363636363	10	1
PART NOUN AUX	7.363636363636363	10	1
AUX ADJ	7.36734693877551	15	34
DET NOUN AUX ADJ PUNCT	7.895522388059701	45	22
SCONJ PRON AUX PART VERB	8.0	8	0
PRON AUX AUX ADV ADJ	8.0	8	0
SCONJ PRON AUX ADJ	8.0	8	0
NOUN AUX AUX VERB ADP	8.047619047619047	17	4
ADP	8.2015503875969	106	152
AUX PRON VERB	8.24390243902439	28	54
ADJ NOUN AUX AUX VERB ADP	8.333333333333334	11	1
PRON AUX ADJ PUNCT	8.333333333333334	34	14
ADP DET ADJ NOUN PUNCT	8.379310344827585	30	57
ADP DET NOUN CCONJ NOUN	8.757575757575758	8	25
NOUN CCONJ VERB	8.962962962962964	16	38
PRON AUX ADV VERB PART VERB	9.0	9	0
DET ADJ NOUN ADP NOUN	9.0	27	54
PRON AUX PART ADV VERB	9.0	9	0
PRON AUX PART	9.0	9	0
DET PROPN NOUN	9.142857142857142	22	6
SCONJ PRON ADJ AUX	9.307692307692308	1	12
ADV AUX PRON	9.96551724137931	6	23
PROPN	10.376470588235295	106	64
ADJ AUX PUNCT	10.75609756097561	10	31
DET PROPN PROPN	10.88888888888889	16	2
PRON AUX VERB	11.593103448275862	93	52
ADJ NOUN PUNCT NOUN PUNCT	11.764705882352942	27	7
AUX VERB ADP ADJ NOUN	11.79245283018868	39	14
VERB	11.968838526912181	144	209
PUNCT X	12.565217391304348	3	20
NOUN PUNCT	12.705882352941176	240	168
ADP NOUN PART NOUN	13.0	13	0
AUX DET NOUN	13.061728395061728	58	104
ADP PRON PUNCT	13.235294117647058	49	19
ADP DET DET NOUN	13.333333333333334	5	25
ADP DET NOUN ADP DET ADJ NOUN PUNCT	13.37037037037037	4	23
DET NOUN PART NOUN	13.761904761904763	19	2
AUX PRON PART	13.761904761904763	19	2
PUNCT PROPN DET NOUN PUNCT	14.0	14	0
PRON AUX PART ADJ	14.0	14	0
PRON VERB PRON	14.759036144578314	59	24
PRON AUX	14.759036144578314	24	59
CCONJ DET NOUN	15.076923076923077	12	40
PRON DET VERB	15.157894736842104	7	31
PRON ADV VERB	15.782608695652174	18	51
AUX PART AUX VERB	16.0	16	0
PRON AUX AUX ADJ	16.2	19	1
PRON AUX VERB PART VERB	16.666666666666668	22	2
NOUN ADP NOUN VERB ADP DET NOUN PUNCT VERB PROPN	17.0	17	0
PROPN PROPN	17.285714285714285	25	3
ADP DET NOUN ADP DET NOUN PUNCT	17.482758620689655	24	63
PRON VERB PART VERB	17.857142857142858	30	5
NOUN CCONJ NOUN PUNCT	17.893617021276597	9	38
AUX PART ADJ PUNCT	18.0	18	0
PART VERB ADJ NOUN	18.181818181818183	21	1
PRON AUX AUX VERB	18.77777777777778	31	5
PUNCT NOUN PUNCT X	19.0	19	0
VERB PRON PUNCT	19.253164556962027	59	20
ADV PUNCT	19.333333333333332	116	58
PRON ADV VERB DET NOUN	19.565217391304348	38	8
ADV AUX DET NOUN	20.081967213114755	13	48
PART VERB DET ADJ NOUN	20.161290322580644	28	3
AUX VERB PUNCT	21.11340206185567	65	129
PRON VERB DET NOUN	21.176470588235293	115	55
PUNCT	21.270042194092827	83	154
AUX VERB ADP	21.333333333333332	40	8
ADJ	22.472	36	89
AUX	22.615384615384617	18	60
PRON AUX VERB PART VERB DET NOUN	23.14814814814815	26	1
DET NOUN ADP NOUN	23.214876033057852	34	87
AUX VERB ADP NOUN	24.934426229508198	50	11
NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN	26.0	26	0
PRON	26.448979591836736	62	134
PRON AUX PART VERB	27.0	27	0
PUNCT PROPN PUNCT	27.457142857142856	33	2
PART VERB PRON	27.923076923076923	36	3
PUNCT DET NOUN AUX VERB ADP NUM NOUN CCONJ VERB ADP NUM NOUN PUNCT	28.0	28	0
PUNCT DET NOUN AUX ADP NUM NOUN VERB CCONJ ADP NUM NOUN VERB PUNCT	29.0	0	29
ADP DET DET NOUN PUNCT	29.49122807017544	8	49
AUX VERB ADP DET NOUN	29.568421052631578	74	21
AUX PART VERB	30.11764705882353	33	1
NOUN ADP DET VERB NOUN PUNCT VERB VERB	31.0	0	31
PART NOUN PUNCT	31.41025641025641	37	2
PART ADJ NOUN PUNCT	33.390243902439025	39	2
PART VERB DET NOUN	34.30612244897959	45	4
ADV	38.08450704225352	90	194
NOUN PUNCT VERB PROPN	43.0	43	0
VERB NOUN PUNCT VERB VERB	44.0	0	44
ADP PART VERB PUNCT	46.2962962962963	2	52
PART VERB PUNCT	49.705882352941174	75	10
PRON NOUN VERB PUNCT	51.54545454545455	7	70
SCONJ VERB	51.945945945945944	68	6
ADP DET NOUN	52.081761006289305	34	125
ADJ VERB PUNCT	59.888888888888886	11	88
PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT	63.0	63	0
PUNCT DET NOUN AUX ADP NUM NOUN VERB PUNCT	73.0	0	73
ADP DET VERB	73.92307692307692	12	105
DET NOUN VERB	131.6469002695418	75	296
NUM PUNCT	281.34104046242777	17	329
X PUNCT	317.1094224924012	326	3
